kpiName,kpiDescription,objectiveName,objectiveDescription,goalName,goalDescription,themeName,themeDescription,dashboardName,dashboardDescription,organizationName,organizationDescription,departmentName,departmentDescription,timePeriod,value
Time 2 Response,Time 2 Response,Communication,Communication,Handling Support Tickets,Handling Support Tickets,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Collaboartion with T3/TAM,Collaboartion with T3/TAM,Communication,Communication,Handling Support Tickets,Handling Support Tickets,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Time 2 Resolution,Time 2 Resolution,Resolution,Resolution,Handling Support Tickets,Handling Support Tickets,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Quality,Quality,Resolution,Resolution,Handling Support Tickets,Handling Support Tickets,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Support enablemenet ,Support enablemenet ,Reduce Support Load,Reduce Support Load,Handling Support Tickets,Handling Support Tickets,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Troubleshooting tools,Troubleshooting tools,Reduce Support Load,Reduce Support Load,Handling Support Tickets,Handling Support Tickets,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
System Monitoring,System Monitoring,Monitoring,Monitoring,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Application Monitoring,Application Monitoring,Monitoring,Monitoring,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Availability,Availability,On Call Duty Mng,On Call Duty Mng,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Load Distribution,Load Distribution,On Call Duty Mng,On Call Duty Mng,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Accuracy,Accuracy,Troubleshooting,Troubleshooting,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Speed,Speed,Troubleshooting,Troubleshooting,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Accuracy,Accuracy,Resolution,Resolution,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
Speed,Speed,Resolution,Resolution,Handling Production Issues,Handling Production Issues,Delivery,Delivery,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,WalkMe Eng,Q2 2019,96
